Date,Value,CPI_YYYYMM
2022-10-31,298.012,202210
2022-09-30,296.808,202209
2022-08-31,296.171,202208
2022-07-31,296.276,202207
2022-06-30,296.311,202206
2022-05-31,292.296,202205
2022-04-30,289.109,202204
2022-03-31,287.504,202203
2022-02-28,283.716,202202
2022-01-31,281.148,202201
2021-12-31,278.802,202112
2021-11-30,277.948,202111
2021-10-31,276.589,202110
2021-09-30,274.31,202109
2021-08-31,273.567,202108
2021-07-31,273.003,202107
2021-06-30,271.696,202106
2021-05-31,269.195,202105
2021-04-30,267.054,202104
2021-03-31,264.877,202103
2021-02-28,263.014,202102
2021-01-31,261.582,202101
2020-12-31,260.474,202012
2020-11-30,260.229,202011
2020-10-31,260.388,202010
2020-09-30,260.28,202009
2020-08-31,259.918,202008
2020-07-31,259.101,202007
2020-06-30,257.797,202006
2020-05-31,256.394,202005
2020-04-30,256.389,202004
2020-03-31,258.115,202003
2020-02-29,258.678,202002
2020-01-31,257.971,202001
2019-12-31,256.974,201912
2019-11-30,257.208,201911
2019-10-31,257.346,201910
2019-09-30,256.759,201909
2019-08-31,256.558,201908
2019-07-31,256.571,201907
2019-06-30,256.143,201906
2019-05-31,256.092,201905
2019-04-30,255.548,201904
2019-03-31,254.202,201903
2019-02-28,252.776,201902
2019-01-31,251.712,201901
2018-12-31,251.233,201812
2018-11-30,252.038,201811
2018-10-31,252.885,201810
2018-09-30,252.439,201809
2018-08-31,252.146,201808
2018-07-31,252.006,201807
2018-06-30,251.989,201806
2018-05-31,251.588,201805
2018-04-30,250.546,201804
2018-03-31,249.554,201803
2018-02-28,248.991,201802
2018-01-31,247.867,201801
2017-12-31,246.524,201712
2017-11-30,246.669,201711
2017-10-31,246.663,201710
2017-09-30,246.819,201709
2017-08-31,245.519,201708
2017-07-31,244.786,201707
2017-06-30,244.955,201706
2017-05-31,244.733,201705
2017-04-30,244.524,201704
2017-03-31,243.801,201703
2017-02-28,243.603,201702
2017-01-31,242.839,201701
2016-12-31,241.432,201612
2016-11-30,241.353,201611
2016-10-31,241.729,201610
2016-09-30,241.428,201609
2016-08-31,240.849,201608
2016-07-31,240.647,201607
2016-06-30,241.038,201606
2016-05-31,240.236,201605
2016-04-30,239.261,201604
2016-03-31,238.132,201603
2016-02-29,237.111,201602
2016-01-31,236.916,201601
2015-12-31,236.525,201512
2015-11-30,237.336,201511
2015-10-31,237.838,201510
2015-09-30,237.945,201509
2015-08-31,238.316,201508
2015-07-31,238.654,201507
2015-06-30,238.638,201506
2015-05-31,237.805,201505
2015-04-30,236.599,201504
2015-03-31,236.119,201503
2015-02-28,234.722,201502
2015-01-31,233.707,201501
2014-12-31,234.812,201412
2014-11-30,236.151,201411
2014-10-31,237.433,201410
2014-09-30,238.031,201409
2014-08-31,237.852,201408
2014-07-31,238.25,201407
2014-06-30,238.343,201406
2014-05-31,237.9,201405
2014-04-30,237.072,201404
2014-03-31,236.293,201403
2014-02-28,234.781,201402
2014-01-31,233.916,201401
2013-12-31,233.049,201312
2013-11-30,233.069,201311
2013-10-31,233.546,201310
2013-09-30,234.149,201309
2013-08-31,233.877,201308
2013-07-31,233.596,201307
2013-06-30,233.504,201306
2013-05-31,232.945,201305
2013-04-30,232.531,201304
2013-03-31,232.773,201303
2013-02-28,232.166,201302
2013-01-31,230.28,201301
2012-12-31,229.601,201212
2012-11-30,230.221,201211
2012-10-31,231.317,201210
2012-09-30,231.407,201209
2012-08-31,230.379,201208
2012-07-31,229.104,201207
2012-06-30,229.478,201206
2012-05-31,229.815,201205
2012-04-30,230.085,201204
2012-03-31,229.392,201203
2012-02-29,227.663,201202
2012-01-31,226.665,201201
2011-12-31,225.672,201112
2011-11-30,226.23,201111
2011-10-31,226.421,201110
2011-09-30,226.889,201109
2011-08-31,226.545,201108
2011-07-31,225.922,201107
2011-06-30,225.722,201106
2011-05-31,225.964,201105
2011-04-30,224.906,201104
2011-03-31,223.467,201103
2011-02-28,221.309,201102
2011-01-31,220.223,201101
2010-12-31,219.179,201012
2010-11-30,218.803,201011
2010-10-31,218.711,201010
2010-09-30,218.439,201009
2010-08-31,218.312,201008
2010-07-31,218.011,201007
2010-06-30,217.965,201006
2010-05-31,218.178,201005
2010-04-30,218.009,201004
2010-03-31,217.631,201003
2010-02-28,216.741,201002
2010-01-31,216.687,201001
2009-12-31,215.949,200912
2009-11-30,216.33,200911
2009-10-31,216.177,200910
2009-09-30,215.969,200909
2009-08-31,215.834,200908
2009-07-31,215.351,200907
2009-06-30,215.693,200906
2009-05-31,213.856,200905
2009-04-30,213.24,200904
2009-03-31,212.709,200903
2009-02-28,212.193,200902
2009-01-31,211.143,200901
2008-12-31,210.228,200812
2008-11-30,212.425,200811
2008-10-31,216.573,200810
2008-09-30,218.783,200809
2008-08-31,219.086,200808
2008-07-31,219.964,200807
2008-06-30,218.815,200806
2008-05-31,216.632,200805
2008-04-30,214.823,200804
2008-03-31,213.528,200803
2008-02-29,211.693,200802
2008-01-31,211.08,200801
2007-12-31,210.036,200712
2007-11-30,210.177,200711
2007-10-31,208.936,200710
2007-09-30,208.49,200709
2007-08-31,207.917,200708
2007-07-31,208.299,200707
2007-06-30,208.352,200706
2007-05-31,207.949,200705
2007-04-30,206.686,200704
2007-03-31,205.352,200703
2007-02-28,203.499,200702
2007-01-31,202.416,200701
2006-12-31,201.8,200612
2006-11-30,201.5,200611
2006-10-31,201.8,200610
2006-09-30,202.9,200609
2006-08-31,203.9,200608
2006-07-31,203.5,200607
2006-06-30,202.9,200606
2006-05-31,202.5,200605
2006-04-30,201.5,200604
2006-03-31,199.8,200603
2006-02-28,198.7,200602
2006-01-31,198.3,200601
2005-12-31,196.8,200512
2005-11-30,197.6,200511
2005-10-31,199.2,200510
2005-09-30,198.8,200509
2005-08-31,196.4,200508
2005-07-31,195.4,200507
2005-06-30,194.5,200506
2005-05-31,194.4,200505
2005-04-30,194.6,200504
2005-03-31,193.3,200503
2005-02-28,191.8,200502
2005-01-31,190.7,200501
2004-12-31,190.3,200412
2004-11-30,191.0,200411
2004-10-31,190.9,200410
2004-09-30,189.9,200409
2004-08-31,189.5,200408
2004-07-31,189.4,200407
2004-06-30,189.7,200406
2004-05-31,189.1,200405
2004-04-30,188.0,200404
2004-03-31,187.4,200403
2004-02-29,186.2,200402
2004-01-31,185.2,200401
2003-12-31,184.3,200312
2003-11-30,184.5,200311
2003-10-31,185.0,200310
2003-09-30,185.2,200309
2003-08-31,184.6,200308
2003-07-31,183.9,200307
2003-06-30,183.7,200306
2003-05-31,183.5,200305
2003-04-30,183.8,200304
2003-03-31,184.2,200303
2003-02-28,183.1,200302
2003-01-31,181.7,200301
2002-12-31,180.9,200212
2002-11-30,181.3,200211
2002-10-31,181.3,200210
2002-09-30,181.0,200209
2002-08-31,180.7,200208
2002-07-31,180.1,200207
2002-06-30,179.9,200206
2002-05-31,179.8,200205
2002-04-30,179.8,200204
2002-03-31,178.8,200203
2002-02-28,177.8,200202
2002-01-31,177.1,200201
2001-12-31,176.7,200112
2001-11-30,177.4,200111
2001-10-31,177.7,200110
2001-09-30,178.3,200109
2001-08-31,177.5,200108
2001-07-31,177.5,200107
2001-06-30,178.0,200106
2001-05-31,177.7,200105
2001-04-30,176.9,200104
2001-03-31,176.2,200103
2001-02-28,175.8,200102
2001-01-31,175.1,200101
2000-12-31,174.0,200012
2000-11-30,174.1,200011
2000-10-31,174.0,200010
2000-09-30,173.7,200009
2000-08-31,172.8,200008
2000-07-31,172.8,200007
2000-06-30,172.4,200006
2000-05-31,171.5,200005
2000-04-30,171.3,200004
2000-03-31,171.2,200003
2000-02-29,169.8,200002
2000-01-31,168.8,200001
1999-12-31,168.3,199912
1999-11-30,168.3,199911
1999-10-31,168.2,199910
1999-09-30,167.9,199909
1999-08-31,167.1,199908
1999-07-31,166.7,199907
1999-06-30,166.2,199906
1999-05-31,166.2,199905
1999-04-30,166.2,199904
1999-03-31,165.0,199903
1999-02-28,164.5,199902
1999-01-31,164.3,199901
1998-12-31,163.9,199812
1998-11-30,164.0,199811
1998-10-31,164.0,199810
1998-09-30,163.6,199809
1998-08-31,163.4,199808
1998-07-31,163.2,199807
1998-06-30,163.0,199806
1998-05-31,162.8,199805
1998-04-30,162.5,199804
1998-03-31,162.2,199803
1998-02-28,161.9,199802
1998-01-31,161.6,199801
1997-12-31,161.3,199712
1997-11-30,161.5,199711
1997-10-31,161.6,199710
1997-09-30,161.2,199709
1997-08-31,160.8,199708
1997-07-31,160.5,199707
1997-06-30,160.3,199706
1997-05-31,160.1,199705
1997-04-30,160.2,199704
1997-03-31,160.0,199703
1997-02-28,159.6,199702
1997-01-31,159.1,199701
1996-12-31,158.6,199612
1996-11-30,158.6,199611
1996-10-31,158.3,199610
1996-09-30,157.8,199609
1996-08-31,157.3,199608
1996-07-31,157.0,199607
1996-06-30,156.7,199606
1996-05-31,156.6,199605
1996-04-30,156.3,199604
1996-03-31,155.7,199603
1996-02-29,154.9,199602
1996-01-31,154.4,199601
1995-12-31,153.5,199512
1995-11-30,153.6,199511
1995-10-31,153.7,199510
1995-09-30,153.2,199509
1995-08-31,152.9,199508
1995-07-31,152.5,199507
1995-06-30,152.5,199506
1995-05-31,152.2,199505
1995-04-30,151.9,199504
1995-03-31,151.4,199503
1995-02-28,150.9,199502
1995-01-31,150.3,199501
1994-12-31,149.7,199412
1994-11-30,149.7,199411
1994-10-31,149.5,199410
1994-09-30,149.4,199409
1994-08-31,149.0,199408
1994-07-31,148.4,199407
1994-06-30,148.0,199406
1994-05-31,147.5,199405
1994-04-30,147.4,199404
1994-03-31,147.2,199403
1994-02-28,146.7,199402
1994-01-31,146.2,199401
1993-12-31,145.8,199312
1993-11-30,145.8,199311
1993-10-31,145.7,199310
1993-09-30,145.1,199309
1993-08-31,144.8,199308
1993-07-31,144.4,199307
1993-06-30,144.4,199306
1993-05-31,144.2,199305
1993-04-30,144.0,199304
1993-03-31,143.6,199303
1993-02-28,143.1,199302
1993-01-31,142.6,199301
1992-12-31,141.9,199212
1992-11-30,142.0,199211
1992-10-31,141.8,199210
1992-09-30,141.3,199209
1992-08-31,140.9,199208
1992-07-31,140.5,199207
1992-06-30,140.2,199206
1992-05-31,139.7,199205
1992-04-30,139.5,199204
1992-03-31,139.3,199203
1992-02-29,138.6,199202
1992-01-31,138.1,199201
1991-12-31,137.9,199112
1991-11-30,137.8,199111
1991-10-31,137.4,199110
1991-09-30,137.2,199109
1991-08-31,136.6,199108
1991-07-31,136.2,199107
1991-06-30,136.0,199106
1991-05-31,135.6,199105
1991-04-30,135.2,199104
1991-03-31,135.0,199103
1991-02-28,134.8,199102
1991-01-31,134.6,199101
